"","Country","CountryCode","Total","coal","nat_gas","oil","nuclear","wind","solar","hydro","other_ren","biomass","dec_ren"
"158","Puerto Rico","PRI",16.877,0.433,0,14.978,0,0.307,0.063,0.928,0.007,0.16,0
"159","Qatar","QAT",47.284,0,47.284,0,0,0,0,0,0,0,0
"160","Romania","ROU",58.56,14.845,6.328,0.574,10.845,6.461,1.702,15.174,0.052,0.432,2.147
"161","Russia","RUS",1104.146,154.214,489.185,8.242,201.645,0.317,1.229,190.313,3.176,0,55.825
"162","Rwanda","RWA",0.768,0.02,0.161,0.284,0,0,0.013,0.287,0,0.004,0
"163","Samoa","WSM",0.15,0,0,0.107,0,0,0,0.042,0,0,0
"164","San Marino","SMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","São Tomé and Príncipe","STP",0.086,0,0,0.079,0,0,0,0.007,0,0,0
"166","Saudi Arabia","SAU",366.015,0,208.284,157.233,0,0,0.498,0,0,0,0
"167","Senegal","SEN",4.837,0.531,0.253,3.626,0,0.021,0.297,0,0,0.109,0
"168","Serbia","SRB",35.317,24.472,0.324,0.021,0,0.866,0.013,9.305,0.129,0.011,0.176
"169","Seychelles","SYC",0.586,0,0,0.508,0,0.079,0,0,0,0,0
"170","Sierra Leone","SLE",0.213,0,0,0.213,0,0,0,0,0,0,0
"171","Singapore","SGP",70.565,10.818,56.289,0.967,0,0,0.85,0,1.345,0.297,0
"172","Sint Maarten (Dutch part)","SXM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Slovak Republic","SVK",29.67,2.517,2.528,0.444,14.864,0.006,0.57,4.291,0.575,1.097,2.779
"174","Slovenia","SVN",15.887,3.804,0.643,0.01,5.633,0.006,0.292,4.39,0.101,0.151,0.857
"175","Solomon Islands","SLB",0.096,0,0,0.096,0,0,0,0,0,0,0
"176","Somalia","SOM",0.341,0,0,0.341,0,0,0,0,0,0,0
"177","South Africa","ZAF",233.226,208.141,0,0.172,12.778,6.337,4.617,0.714,0,0.426,0.041
"178","South Sudan","SSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"179","Spain","ESP",242.647,22.519,53.943,12.056,54.709,51.759,14.098,23.417,2.512,3.648,3.986
"180","Sri Lanka","LKA",15.597,4.943,0,5.367,0,0.336,0.099,4.737,0,0.114,0
"181","St. Kitts and Nevis","KNA",0.162,0,0,0.149,0,0.003,0,0.009,0,0.002,0
"182","St. Lucia","LCA",0.371,0,0,0.371,0,0,0,0,0,0,0
"183","St. Martin (French part)","MAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","St. Vincent and the Grenadines","VCT",0.157,0,0,0.144,0,0,0,0.013,0,0,0
"185","Sudan","SDN",16.645,0,0,6.648,0,0,0,9.998,0,0,0
"186","Suriname","SUR",2.238,0,0,1.198,0,0,0.019,1.022,0,0,0
"187","Eswatini","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"188","Sweden","SWE",167.102,0.579,0.139,0.212,64.626,19.247,0.661,64.702,3.375,10.976,2.585
"189","Switzerland","CHE",72.868,0,0.287,0.03,25.409,0.139,2.085,37.062,2.696,0.315,4.844
"190","Syria","SYR",18.285,0,10.461,7.046,0,0,0,0.778,0,0,0
"191","Taiwan Province of China","TWN",273.473,124.349,91.163,6.196,31.779,1.999,4.54,5.52,3.588,0.149,4.19
"192","Tajikistan","TJK",22.574,1.556,0.86,0,0,0,0,20.158,0,0,0
"193","Tanzania","TZA",7.314,0,3.287,1.531,0,0,0.083,2.345,0,0.067,0
"194","Thailand","THA",188.089,24.903,121.74,0.228,0,3.527,4.962,6.323,2.02,15.852,8.534
"195","Timor-Leste","TLS",0.567,0,0,0.504,0,0.009,0.003,0.03,0,0.02,0
"196","Togo","TGO",0.788,0,0.519,0.021,0,0,0.004,0.244,0,0,0
"197","Tonga","TON",0.092,0,0,0.092,0,0,0,0,0,0,0
"198","Trinidad and Tobago","TTO",8.492,0,8.454,0.034,0,0,0.004,0,0,0,0
"199","Tunisia","TUN",20.992,0,19.496,0.044,0,0.484,0.238,0.065,0,0,0.665
"200","Turkey","TUR",332.043,105.094,54.252,0.33,0,21.201,9.055,88.434,11.389,0.874,41.414
"201","Turkmenistan","TKM",23.137,0,23.133,0,0,0,0,0.003,0,0,0
"202","Turks and Caicos Islands","TCA",0.205,0,0,0.187,0,0.003,0.001,0.012,0,0.002,0
"203","Tuvalu","TUV",0.007,0,0,0.007,0,0,0,0,0.002,0,-0.002
"204","Uganda","UGA",4.388,0,0,0.065,0,0,0.162,4.058,0,0.103,0
"205","Ukraine","UKR",146.996,42.544,10.321,0.46,81.843,1.977,2.88,6.499,0.209,0.192,0.072
"206","United Arab Emirates","ARE",165.134,0,155.952,2.712,0,0,6.47,0,0,0,0
"207","United Kingdom","GBR",298.232,15.103,100.768,1.405,53.544,60.829,12.257,5.73,15.298,24.67,8.628
"208","United States","USA",4185.832,584.995,1959.141,34.495,814.327,285.708,93.72,283.454,46.902,41.821,41.268
"209","Uruguay","URY",15.37,0,0.057,0.155,0,4.495,0.402,7.832,0,2.408,0.02
"210","Uzbekistan","UZB",60.048,2.088,50.258,0.758,0,0,0,6.944,0,0,0
"211","Vanuatu","VUT",0.085,0,0,0.073,0,0.005,0,0.007,0,0,0
"212","Venezuela","VEN",72.613,0,10.224,13.651,0,0.084,0.008,48.646,0,0,0
"213","Vietnam","VNM",234.428,114.539,43.819,2.203,0,0.793,4.835,65.465,0,2.774,0.002
"214","Virgin Islands (U.S.)","VIR",0.566,0,0,0.51,0,0.011,0.002,0.031,0,0.011,0
"215","West Bank and Gaza","PSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"216","Yemen","YEM",3.503,0,0.297,2.734,0,0,0.471,0,0,0,0
"217","Zambia","ZMB",14.604,1.801,0.013,0.581,0,0,0.126,12.083,0,0,0
"218","Zimbabwe","WMR",7.356,3.679,0,0.048,0,0,0,3.446,0,0.183,0
