"CPAT Code","Year","CountryName","FuelType","ely","pow","rod","ral","avi","nav","res","foo","srv","mch","irn","nfm","mac","cem","omn","cst","ftr","oen","neu","wav"
"arg.mit.enc.heat",2019,"Argentina","heat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.ele",2019,"Armenia","ecy",0,0,1,6,0,0,167,32.7,19.8,65.5,6.1,19.2,2,11.3,7.1,3,68.4,144,NA,NA
"arm.mit.enc.coa",2019,"Armenia","coa",0,0,0,0,0,0,1,0,1.8,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.nga",2019,"Armenia","nga",3096.2,581,481.8,0,0,0,550.3,114,43.6,11.2,14.4,2.1,1,74,6.1,3.9,104.5,163.6,NA,NA
"arm.mit.enc.oop",2019,"Armenia","oop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.gso",2019,"Armenia","gso",0,0,181.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.die",2019,"Armenia","die",0,0,102.4,0,0,0,0.1,16.2,0,10.5,0,4.5,0,0,0,0.9,0,0,NA,NA
"arm.mit.enc.ker",2019,"Armenia","ker",0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.lpg",2019,"Armenia","lpg",0,0,26.7,0,0,0,0.1,0,4.8,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.jfu",2019,"Armenia","jfu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.wnd",2019,"Armenia","wnd",13.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.sol",2019,"Armenia","sol",67.6,5.6,0,0,0,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.hyd",2019,"Armenia","hyd",2365.7,203.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.ore",2019,"Armenia","ore",0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.nuc",2019,"Armenia","nuc",2183.2,633.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.bio",2019,"Armenia","bio",0,0,0,0,0,0,83.2,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.bgs",2019,"Armenia","bgs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
